,Entity,Label,Abstracts,ClCy-Trips-Raw,ClCy
10,http://yago-knowledge.org/resource/A_Beautiful_Mind_(film),A Beautiful Mind (film),"A Beautiful Mind is a 2001 American biographical drama film directed by Ron Howard. Written by Akiva Goldsman, its screenplay was inspired by Sylvia Nasar's 1998 biography of the mathematician John Nash, a Nobel Laureate in Economics. A Beautiful Mind stars Russell Crowe as Nash, along with Ed Harris, Jennifer Connelly, Paul Bettany, Adam Goldberg, Judd Hirsch, Josh Lucas, Anthony Rapp, and Christopher Plummer in supporting roles. The story begins in Nash's days as a graduate student at Princeton University. Early in the film, Nash begins to develop paranoid schizophrenia and endures delusional episodes while watching the burden his condition brings on his wife Alicia and friends. A Beautiful Mind was released theatrically in the United States on December 21, 2001. It went on to gross over $313 million worldwide and won four Academy Awards, for Best Picture, Best Director, Best Adapted Screenplay and Best Supporting Actress for Connelly. It was also nominated for Best Actor, Best Film Editing, Best Makeup, and Best Original Score.","[[is, a 2001 American biographical drama film], [stars, Russell Crowe], [was released, theatrically], [was released, in the United States], [was released, on December 21, 2001], [nominated, for Best Actor, Best Film Editing, Best Makeup, and Best Original Score], [nominated, also]]","[['type', '2001_American_biographical_drama_film'], ['stars', 'Russell_Crowe'], ['releasedIn', 'United_States'], ['releasedOn', 'December'], ['wonMind', 'Best_Actor'], ['winningMind', 'Best_Film_Editing'], ['bestMind', 'Best_Makeup'], ['wonMind', 'Best_Original_Score']]"
11,http://yago-knowledge.org/resource/About_Schmidt,About Schmidt,"About Schmidt is a 2002 American comedy-drama film co-written and directed by Alexander Payne and starring Jack Nicholson in the title role. The film also stars Hope Davis, Dermot Mulroney, and Kathy Bates. It is loosely based on the 1996 novel of the same title by Louis Begley. About Schmidt was theatrically released on December 13, 2002, by New Line Cinema. The film was both a commercial and critical success, earning $105.8 million on a $30 million budget.","[[is, a 2002 American comedy-drama film], [based, loosely], [based, on the 1996 novel of the same title by Louis Begley]]","[['type', '2002_American_comedy-drama_film'], ['inspiredBy', '1996_novel'], ['basedBy', 'same_title'], ['directedBy', 'Louis_Begley']]"
12,http://yago-knowledge.org/resource/Adelaide_United_FC,Adelaide United FC,"Adelaide United Football Club is a professional soccer club based in Adelaide, South Australia, Australia. The club participates in the A-League Men under licence from (APL). The club was founded in 2003 to fill the place vacated by Adelaide City and West Adelaide in the former National Soccer League (NSL), and is now the sole team from the state of South Australia in the A-League. Adelaide United's home ground is Coopers Stadium, formally Hindmarsh Stadium. Adelaide United holds the record for the largest win in an A-League game. Adelaide defeated North Queensland Fury 8–1 at Hindmarsh Stadium on 21 January 2011. It was also the first time – and, to date, remains the only time – a team had two players score hat-tricks in a single match: one to Marcos Flores and the other to Sergio van Dijk. In 2014, Adelaide United were the winners of the first FFA Cup, beating Perth Glory 1–0 in the final, and in 2016 won their first A-League Grand Final, beating the Western Sydney Wanderers 3–1 with goals from Bruce Kamau, Isaías and Pablo Sanchez. In 2019, Adelaide United became the first team to win three FFA Cup titles after defeating Melbourne City FC in the 2019 FFA Cup Final.","[[is, a professional soccer club], [holds, the record], [defeated, Fury 8–1], [was, the first time], [were, the winners], [became, the first team]]","[['not', 'professional_soccer_club'], ['holds', 'record'], ['fcDefeated', 'Fury'], ['for', 'first_time'], ['fcWere', 'winners'], ['fcBecame', 'first_team']]"
13,"http://yago-knowledge.org/resource/Alexandria,_Louisiana","Alexandria, Louisiana","Alexandria is the ninth-largest city in the state of Louisiana and is the parish seat of Rapides Parish, Louisiana, United States. It lies on the south bank of the Red River in almost the exact geographic center of the state. It is the principal city of the Alexandria metropolitan area (population 153,922) which encompasses all of Rapides and Grant parishes. Its neighboring city is Pineville. In 2010, the population was 47,723, an increase of 3 percent from the 2000 census.","[[is, the ninth-largest city], [lies, in almost the exact geographic center of the state], [lies, on the south bank of the Red River], [is, the principal city]]","[['type', 'ninth-largest_city'], ['liesOf', 'almost_the_exact_geographic_center'], ['capitalOf', 'state'], ['liesOf', 'south_bank'], ['southOf', 'Red_River'], ['type', 'principal_city']]"
14,http://yago-knowledge.org/resource/Ali_Larter,Ali Larter,"Alison Elizabeth Larter (born February 28, 1976) is an American actress and model. She portrayed fictional model Allegra Coleman in a 1996 Esquire magazine hoax and took on guest roles on several television shows in the 1990s. She made her film debut in Varsity Blues (1999), which was followed by the horror film House on Haunted Hill (1999). Her role as Clear Rivers in the first two films of the Final Destination franchise earned her a reputation as a scream queen. Larter played supporting roles in the comedy Legally Blonde (2001) and the romantic comedy A Lot Like Love (2005), and led the Bollywood movie Marigold (2007) and the thriller Obsessed (2009). She played the dual roles of Niki Sanders and Tracy Strauss on the NBC science fiction drama Heroes (2006–2010), and achieved wider recognition for her portrayal of video game heroine Claire Redfield in the Resident Evil: Extinction (2007), Resident Evil: Afterlife (2010), and Resident Evil: The Final Chapter (2016). As of April 2017, Larter's films have grossed over US$1.31 billion worldwide. Her presence in the media is reinforced by her appearances in lists compiled by Maxim, FHM, and Stuff, as well as People magazine's ""Best Dressed List"" in 2007. She released her cookbook, Kitchen Revelry: A Year of Festive Menus from My Home to Yours, in September 2013.","[[is, model], [is, an American actress], [portrayed, model Allegra Coleman], [made, her film debut], [played, supporting], [played, the dual roles], [released, her cookbook]]","[['type', 'model'], ['type', 'American_actress'], ['portrayed', 'model_Allegra_Coleman'], ['made', 'film_debut'], ['played', 'dual_roles'], ['released', 'cookbook']]"
15,http://yago-knowledge.org/resource/American_Samoa,American Samoa,"American Samoa (Samoan: Amerika Sāmoa, pronounced [aˈmɛɾika ˈsaːmʊa]; also Amelika Sāmoa or Sāmoa Amelika) is an unincorporated territory of the United States located in the South Pacific Ocean, southeast of the island country of Samoa. Its location is centered on 14°18′S 170°42′W﻿ / ﻿14.3°S 170.7°W. It is east of the International Date Line, while Samoa is west of the Line. The total land area is 199 square kilometers (76.8 sq mi), slightly more than Washington, D.C. American Samoa is the southernmost territory of the United States and one of two U.S. territories south of the Equator, along with the uninhabited Jarvis Island. Tuna products are the main exports, and the main trading partner is the rest of the United States. American Samoa consists of five main islands and two coral atolls. The largest and most populous island is Tutuila, with the Manuʻa Islands, Rose Atoll and Swains Island also included in the territory. All islands except for Swains Island are part of the Samoan Islands, west of the Cook Islands, north of Tonga, and some 500 kilometres (310 mi) south of Tokelau. To the west are the islands of the Wallis and Futuna group. As of 2022, the population of American Samoa is approximately 45,443 people. Most American Samoans are bilingual and can speak English and Samoan fluently. American Samoa has been a member of the Pacific Community since 1983. American Samoa is noted for having the highest rate of military enlistment of any U.S. state or territory. As of September 9, 2014, the local U.S. Army recruiting station in Pago Pago was ranked first in production out of the 885 Army recruiting stations and centers under the United States Army Recruiting Command. American Samoa is the only permanently inhabited territory of the United States in which citizenship is not granted at birth, and people born there are considered ""non-citizen nationals"".","[['is', pronounced [aˈmɛɾika ˈsaːmʊa], [is, the southernmost territory], [is, one], [consists, of five main islands and two coral atolls], [been, a member], [is noted, for having the highest rate of military enlistment of any U.S. state or territory], [is, the only permanently inhabited territory]]","[['isPronounced', 'pronounced_[aˈmɛɾika_ˈsaːmʊa'], ['type', 'southernmost_territory'], ['mainIslands', 'five_main_islands'], ['mainIslands', 'two_coral_atolls'], ['been', 'member'], ['state', 'highest_rate'], ['state', 'military_enlistment'], ['canState', 'any_U.S._state'], ['state', 'territory'], ['type', 'only_permanently_inhabited_territory']]"
16,"http://yago-knowledge.org/resource/Ames,_Iowa","Ames, Iowa","Ames (/eɪmz/) is a city in Story County, Iowa, United States, located approximately 30 miles (48 km) north of Des Moines in central Iowa. It is best known as the home of Iowa State University (ISU), with leading agriculture, design, engineering, and veterinary medicine colleges. A United States Department of Energy national laboratory, Ames Laboratory, is located on the ISU campus. According to the 2020 census, Ames had a population of 66,427, making it the state's ninth largest city. Iowa State University was home to 33,391 students as of fall 2019, which make up approximately one half of the city's population. Ames also hosts United States Department of Agriculture (USDA) sites: the largest federal animal disease center in the United States, the USDA Agricultural Research Service's National Animal Disease Center (NADC), as well as one of two national USDA sites for the Animal and Plant Health Inspection Service (APHIS), which comprises the National Veterinary Services Laboratory and the Center for Veterinary Biologics. Ames also hosts the headquarters for the Iowa Department of Transportation.","[['is', /eɪmz/], [known, with leading agriculture, design, engineering, and veterinary medicine colleges], [known, best], [known, as the home of Iowa State University (ISU)], [had, a population], [hosts, sites], [hosts, the headquarters]]","[['withAmes', 'leading_agriculture'], ['Ames', 'design'], ['Ames', 'engineering'], ['Ames', 'veterinary_medicine'], ['withAmes', 'colleges'], ['stateUniversity', 'home'], ['stateUniversity', 'Iowa_State_University'], ['stateUniversity', '(ISU'], ['had', 'population'], ['hostsSites', 'sites'], ['hosts', 'headquarters']]"
17,http://yago-knowledge.org/resource/Amy_Smart,Amy Smart,"Amy Lysle Smart (born March 26, 1976) is an American actress. A native of Los Angeles, Smart began her career modelling in Italy and subsequently enrolled in acting school. Her first role in film was in director Martin Kunert's anthology horror film Campfire Tales, followed by a minor part in Paul Verhoeven's Starship Troopers (1997). In 1998, Smart played a role in Dee Snider's Strangeland. She garnered widespread recognition after appearing in the mainstream teen drama Varsity Blues (1999), as well as for her recurring role as Ruby on the television series Felicity (1999–2001). She followed this with a lead role in the college sex comedy Road Trip (2000), and co-starred in Jerry Zucker's ensemble comedy Rat Race (2001). She had a lead role opposite Ashton Kutcher in the sci-fi drama The Butterfly Effect (2004). Smart co-starred with Ryan Reynolds and Anna Faris in Just Friends (2005), followed by the sports drama Peaceful Warrior (2006). From 2011 to 2012, she had a recurring role as Jasmine Hollander on the series Shameless. She subsequently starred in Tyler Perry's comedy The Single Moms Club (2014). Since 2020, Smart has starred as Barbara Whitmore in the DC Universe/The CW superhero drama series Stargirl.","[[is, an American actress], [began, her career modelling], [played, a role], [garnered, widespread recognition], [followed, this], [had, a lead role], [had, a recurring role], [starred, in Tyler Perry's comedy The Single Moms Club (2014)], [starred, subsequently], [has starred, The CW superhero drama series]]","[['type', 'American_actress'], ['began', 'career_modelling'], ['played', 'role'], ['garnered', 'widespread_recognition'], ['iFollowed', 'this'], ['had', 'lead_role'], ['had', 'recurring_role'], ['Smart', ""Tyler_Perry's_comedy""], ['amySmart', 'The_Single_Moms_Club'], ['starred', 'The_CW_superhero_drama_series']]"
18,http://yago-knowledge.org/resource/Atlanta,Atlanta,"Atlanta (/ætˈlæntə/ at-LAN-tə) is the capital and most populous city of the U.S. state of Georgia. It is the seat of Fulton County, the most populous county in Georgia, but its territory falls in both Fulton and DeKalb counties. With a population of 498,715 living within the city limits, it is the eighth most populous city in the Southeast and 38th most populous city in the United States according to the 2020 U.S. census. It is the core of the much larger Atlanta metropolitan area, which is home to more than 6.1 million people, making it the eighth-largest metropolitan area in the United States. Situated among the foothills of the Appalachian Mountains at an elevation of just over 1,000 feet (300 m) above sea level, it features unique topography that includes rolling hills, lush greenery, and the most dense urban tree coverage of any major city in the United States. Atlanta was originally founded as the terminus of a major state-sponsored railroad, but it soon became the convergence point among several railroads, spurring its rapid growth. The largest was the Western and Atlantic Railroad, from which the name ""Atlanta"" is derived, signifying the city's growing reputation as a major hub of transportation. During the American Civil War, it served a strategically important role for the Confederacy until it was captured in 1864. The city was almost entirely burnt to the ground during General William T. Sherman's March to the Sea. However, the city rebounded dramatically in the post-war period and quickly became a national industrial center and the unofficial capital of the ""New South"". After World War II, it also became a manufacturing and technology hub. During the 1950s and 1960s, it became a major organizing center of the American Civil Rights Movement, with Martin Luther King Jr., Ralph David Abernathy, and many other locals becoming prominent figures in the movement's leadership. In the modern era, Atlanta has stayed true to its reputation as a major center of transportation, with Hartsfield–Jackson Atlanta International Airport becoming the world's busiest airport by passenger traffic in 1998 (a position it has held every year since, with the exception of 2020 as a result of the worldwide COVID-19 pandemic). With a gross domestic product (GDP) of $406 billion, Atlanta has the tenth largest economy of cities in the U.S. and the 20th largest in the world. Its economy is considered diverse, with dominant sectors in industries including transportation, aerospace, logistics, healthcare, news and media operations, film and television production, information technology, finance, and biomedical research and public policy. The gentrification of some its neighborhoods, initially spurred by the 1996 Summer Olympics, has intensified in the 21st century with the growth of the Atlanta Beltline. This has altered its demographics, politics, aesthetics, and culture.","[['is', /ætˈlæntə/ at-LAN-tə], [is, the seat], [is, 38th most populous city], [is, the eighth most populous city], [is, the core], [Situated, at an elevation of just over 1,000 feet (300 m) above sea level], [Situated, among the foothills of the Appalachian Mountains], [founded, originally], [founded, as the terminus of a major state-sponsored railroad], [served, a strategically important role], [became, a manufacturing and technology hub], [became, a major organizing center], [has stayed, true], [has, 20th largest], [has, the tenth largest economy]]","[['-', 'LAN'], ['not', 'seat'], ['the', '38th_most_populous_city'], ['type', 'eighth_most_populous_city'], ['not', 'core'], ['situatedAbove', 'elevation'], ['elevationAbove', 'just_over_1,000_feet'], ['elevationAbove', '300_m'], ['isAbove', 'sea_level'], ['situatedOf', 'foothills'], ['situatedOf', 'Appalachian_Mountains'], ['siteOf', 'terminus'], ['terminusOf', 'major_state-sponsored_railroad'], ['served', 'strategically_important_role'], ['became', 'manufacturing_and_technology_hub'], ['became', 'major_organizing_center'], ['has', 'tenth_largest_economy']]"
19,http://yago-knowledge.org/resource/Bachelor_of_Arts,Bachelor of Arts,"Bachelor of arts (BA or AB; from the Latin baccalaureus artium, baccalaureus in artibus or artium baccalaureus) is a bachelor's degree awarded for an undergraduate program in the arts, or, in some cases, other disciplines. A bachelor of arts degree course is generally completed in three or four years, depending on the country and institution. 
* Degree attainment typically takes four years in Afghanistan, Armenia, Azerbaijan, Bangladesh, Brazil, Brunei, China, Egypt, Ghana, Greece, Georgia, Hong Kong, Indonesia, Iran, Iraq, Ireland, Japan, Kazakhstan, Kenya, Kuwait, Latvia, Lebanon, Lithuania, Mexico, Malaysia, Mongolia, Myanmar, Nepal, Netherlands, Nigeria, Pakistan, the Philippines, Qatar, Russia, Saudi Arabia, Scotland, Serbia, South Korea, Spain, Sri Lanka, Taiwan, Thailand, Turkey, Ukraine, the United States and Zambia. 
* Degree attainment typically takes three years in Albania, Australia, Bosnia and Herzegovina, the Caribbean, Iceland, India, Israel, Italy, New Zealand, Norway, South Africa, Switzerland, the Canadian province of Quebec, the United Kingdom (except Scotland) and most of the European Union. In Bangladesh, three-year BA (associates) courses are also available.","[['is', BA], ['is', AB], [completed, generally], [completed, depending on the country and institution], [completed, in three or four years]]","[['ba', 'BA'], ['ab', 'AB'], ['perCountry', 'country'], ['completedCountry', 'institution'], ['completedIn', 'three_or_four_years']]"
20,"http://yago-knowledge.org/resource/Baldwin_County,_Alabama","Baldwin County, Alabama","Baldwin County is a county located in the southwestern part of the U.S. state of Alabama, on the Gulf coast. It is one of only two counties in Alabama that border the Gulf of Mexico, along with Mobile County. As of the 2020 census, the population was 231,767. The county seat is Bay Minette. The county is named after senator Abraham Baldwin, though he never lived in what is now Alabama. Baldwin was Alabama's fastest-growing county from 2010 to 2020, with 4 of the top 10 fastest-growing cities in the state in recent years. The U.S. federal government designates Baldwin County as the Daphne-Fairhope-Foley, AL Metropolitan Statistical Area. It is the largest county in Alabama by area and is located on the eastern side of Mobile Bay. Part of its western border with Mobile County is formed by the Spanish River, a brackish distributary river.","[[is, a county], [is, one], [is, Bay Minette], [is named, after senator Abraham Baldwin], [was, Alabama's fastest-growing county], [is, the largest county]]","[['not', 'county'], ['bay', 'Bay_Minette'], ['isAfter', 'senator_Abraham_Baldwin'], ['type', ""Alabama's_fastest-growing_county""], ['type', 'largest_county']]"
21,http://yago-knowledge.org/resource/Ball_State_University,Ball State University,"Ball State University (Ball State, State or BSU) is a public research university in Muncie, Indiana. It has two satellite facilities in Fishers and Indianapolis. On July 25, 1917, the Ball brothers, industrialists and founders of the Ball Corporation, acquired the foreclosed Indiana Normal Institute for $35,100 and gave the school and surrounding land to the State of Indiana. The Indiana General Assembly accepted the donation in the spring of 1918, with an initial 235 students enrolling at the Indiana State Normal School – Eastern Division on June 17, 1918. Ball State is classified among ""R2: Doctoral Universities – High research activity"". The university is composed of seven academic colleges. As of Fall 2020, total enrollment was 21,597 students, including 15,205 undergraduates and 5,817 postgraduates. The university offers about 120 undergraduate majors and 130 minor areas of study and more than 100 master's, doctoral, certificate, and specialist degrees. There are more than 400 student organizations and clubs on campus, including 31 fraternities and sororities. Ball State athletic teams compete in Division I of the NCAA and are known as the Ball State Cardinals. The university is a member of the Mid-American Conference and the Midwestern Intercollegiate Volleyball Association. In Fall 2020, the university formed a varsity esports team and joined the Esports Collegiate Conference.","[['is', Ball State], ['is', BSU], ['is', State], [has, satellite facilities], [is classified, among ""R2: Doctoral Universities – High research activity""], [is composed, of seven academic colleges], [offers, undergraduate majors], [offers, specialist degrees], [offers, minor areas], [offers, doctoral], [offers, certificate], [offers, master], [is, a member], [is, the Midwestern Intercollegiate Volleyball Association], [formed, a varsity esports team]]","[['in', 'Ball_State'], ['type', 'BSU'], ['ball', 'State'], ['has', 'satellite_facilities'], ['doctoralUniversities', 'R2'], ['doctoralUniversities', 'High_research_activity'], ['consistsOf', 'seven_academic_colleges'], ['offers', 'undergraduate_majors'], ['offers', 'specialist_degrees'], ['offers', 'minor_areas'], ['offers', 'certificate'], ['offers', 'master'], ['type', 'member'], ['in', 'Midwestern_Intercollegiate_Volleyball_Association'], ['formed', 'varsity_esports_team']]"
22,http://yago-knowledge.org/resource/Bass_(voice_type),Bass (voice type),"A bass is a type of classical male singing voice and has the lowest vocal range of all voice types. According to The New Grove Dictionary of Opera, a bass is typically classified as having a vocal range extending from around the second E below middle C to the E above middle C (i.e., E2–E4). Its tessitura, or comfortable range, is normally defined by the outermost lines of the bass clef. Categories of bass voices vary according to national style and classification system. Italians favour subdividing basses into the basso cantante (singing bass), basso buffo (""funny"" bass), or the dramatic basso profondo (low bass). The American system identifies the bass-baritone, comic bass, lyric bass, and dramatic bass. The German Fach system offers further distinctions: Spielbass (Bassbuffo), Schwerer Spielbass (Schwerer Bassbuffo), Charakterbass (Bassbariton), and Seriöser Bass. These classification systems can overlap. Rare is the performer who embodies a single Fach without also touching repertoire from another category.","[[is, a type], [classified, According to The New Grove Dictionary of Opera], [classified, typically], [classified, as having a vocal range extending from around the second E below middle C to the E above middle C (i.e., E2–E4)]]","[['not', 'type'], ['asOf', 'The_New_Grove_Dictionary'], ['encyclopediaOf', 'Opera'], ['givesE2', 'vocal_range'], ['E2', 'second_E'], ['E2', 'middle_C'], ['E2', 'E'], ['E2', '(i.e.,_E2'], ['E2', 'E4']]"
23,"http://yago-knowledge.org/resource/Bethesda,_Maryland","Bethesda, Maryland","Bethesda (/bəˈθɛzdə/) is an unincorporated, census-designated place in southern Montgomery County, Maryland. It is located just northwest of Washington, D.C. It takes its name from a local church, the Bethesda Meeting House (1820, rebuilt 1849), which in turn took its name from Jerusalem's Pool of Bethesda. The National Institutes of Health's main campus and the Walter Reed National Military Medical Center are in Bethesda, in addition to a number of corporate and government headquarters. As an unincorporated community, Bethesda has no official boundaries. According to the 2020 U.S. census, the community had a total population of 68,056.","[['is', /bəˈθɛzdə/], [is located, just northwest of Washington,], [has, no official boundaries]]","[['stateOf', 'Washington'], ['has', 'no_official_boundaries']]"
